Factuurnummer of Subset_sales_data_Prediction_beers,Factuurdatum,Identificatienummer,Naam of Subset_sales_data_Prediction_beers,Commerciële naam,Bedrijfscategorieën,Vertegenwoordiger,Land,Stad,Prijsklasse,Artikelnummer,Naam product,Productcategorieën,Aantal,Grondstof,Liter,Liter_clean,Year of Subset_sales_data_Prediction_beers,Factuurnummer of FINAL SubsetData_PredictionBeers,Naam of FINAL SubsetData_PredictionBeers,Year of FINAL SubsetData_PredictionBeers,N Rows,Sum(Liter_clean),Order_Size
202100003,29/11/2021,4,Restaurant | Hoop doet Eten,Restaurant | Hoop doet Eten,Eigen groep,Dennis de Leeuw,Nederland,Zaandijk,Korting 25%,000104,Hoop Bleke Nelis dolium 20L,"Bier in dolium (one-way keg), Kern",1,Hoop Bleke Nelis,20,20,2021,202100003,Restaurant | Hoop doet Eten,2021,1,20,Regular
202100004,29/11/2021,5,Winkel | Hoop doet Eten,Winkel | Hoop doet Eten,"Eigen groep, Retail, Zaanstreek",Dennis de Leeuw,Nederland,Zaandijk,Korting 20%,000057,"Hoop Seasonal Summer Session IPA doos 12fles/0,33l","Bier in fles, Seasonal",2,Hoop Kaper Tropical - Summer Session IPA,7.92,7.92,2021,202100004,Winkel | Hoop doet Eten,2021,5,30.36,Regular
202100004,29/11/2021,5,Winkel | Hoop doet Eten,Winkel | Hoop doet Eten,"Eigen groep, Retail, Zaanstreek",Dennis de Leeuw,Nederland,Zaandijk,Korting 20%,000220,Hoop Cadeauset 5x 5 fles Holiday Cheers,Cadeauset,7,Hoop Bleke Nelis,11.55,11.55,2021,202100004,Winkel | Hoop doet Eten,2021,5,30.36,Regular
202100004,29/11/2021,5,Winkel | Hoop doet Eten,Winkel | Hoop doet Eten,"Eigen groep, Retail, Zaanstreek",Dennis de Leeuw,Nederland,Zaandijk,Korting 20%,000220,Hoop Cadeauset 5x 5 fles Holiday Cheers,Cadeauset,3,Hoop Bleke Nelis,4.95,4.95,2021,202100004,Winkel | Hoop doet Eten,2021,5,30.36,Regular
202100004,29/11/2021,5,Winkel | Hoop doet Eten,Winkel | Hoop doet Eten,"Eigen groep, Retail, Zaanstreek",Dennis de Leeuw,Nederland,Zaandijk,Korting 20%,000200,Hoop Cadeauset 6x 4 fles Licht & Fris,Cadeauset,1,Hoop Bleke Nelis,1.98,1.98,2021,202100004,Winkel | Hoop doet Eten,2021,5,30.36,Regular
202100004,29/11/2021,5,Winkel | Hoop doet Eten,Winkel | Hoop doet Eten,"Eigen groep, Retail, Zaanstreek",Dennis de Leeuw,Nederland,Zaandijk,Korting 20%,000197,Hoop Cadeauset 6x 4 fles Seasonal Winter,Cadeauset,2,Hoop Kaper Tropical - Summer Session IPA,3.96,3.96,2021,202100004,Winkel | Hoop doet Eten,2021,5,30.36,Regular
202100005,29/11/2021,651,Gall & Gall Castricum,Gall & Gall Castricum,Slijterij,Sjors Sombroek,Nederland,CASTRICUM,Gall & Gall franchise,000220,Hoop Cadeauset 5x 5 fles Holiday Cheers,Cadeauset,2,Hoop Bleke Nelis,3.3,3.3,2021,202100005,Gall & Gall Castricum,2021,2,7.26,Regular
202100005,29/11/2021,651,Gall & Gall Castricum,Gall & Gall Castricum,Slijterij,Sjors Sombroek,Nederland,CASTRICUM,Gall & Gall franchise,000197,Hoop Cadeauset 6x 4 fles Seasonal Winter,Cadeauset,2,Hoop Kaper Tropical - Summer Session IPA,3.96,3.96,2021,202100005,Gall & Gall Castricum,2021,2,7.26,Regular
202100006,29/11/2021,610,Gall&Gall Oudorperplein Alkmaar5112,Gall&Gall Oudorperplein Alkmaar5112,Slijterij,Sjors Sombroek,Nederland,ALKMAAR,Gall & Gall franchise,000192,Hoop Cadeauset 5x 5 fles kern,Cadeauset,3,Hoop Bleke Nelis,4.95,4.95,2021,202100006,Gall&Gall Oudorperplein Alkmaar5112,2021,2,10.89,Regular
202100006,29/11/2021,610,Gall&Gall Oudorperplein Alkmaar5112,Gall&Gall Oudorperplein Alkmaar5112,Slijterij,Sjors Sombroek,Nederland,ALKMAAR,Gall & Gall franchise,000197,Hoop Cadeauset 6x 4 fles Seasonal Winter,Cadeauset,3,Hoop Kaper Tropical - Summer Session IPA,5.94,5.94,2021,202100006,Gall&Gall Oudorperplein Alkmaar5112,2021,2,10.89,Regular
